Date,Open,High,Low,Close,Adj Close,Volume
03-01-2012,5.788,5.9,5.53,5.616,5.616,4640500
04-01-2012,5.642,5.734,5.5,5.542,5.542,3150500
05-01-2012,5.552,5.586,5.37,5.424,5.424,5027500
06-01-2012,5.44,5.558,5.282,5.382,5.382,4931500
09-01-2012,5.4,5.498,5.224,5.45,5.45,4485000
10-01-2012,5.488,5.552,5.45,5.524,5.524,3359000
11-01-2012,5.524,5.676,5.46,5.646,5.646,3361500
12-01-2012,5.696,5.724,5.562,5.65,5.65,3646500
13-01-2012,5.68,5.7,4.528,4.558,4.558,27502000
17-01-2012,5.324,5.468,5.282,5.32,5.32,23258000
18-01-2012,5.338,5.376,5.25,5.362,5.362,6301000
19-01-2012,5.438,5.548,5.322,5.352,5.352,6231500
20-01-2012,5.38,5.4,5.28,5.32,5.32,3311500
23-01-2012,5.362,5.442,5.32,5.354,5.354,2973000
24-01-2012,5.326,5.536,5.288,5.484,5.484,4290000
25-01-2012,5.454,5.602,5.41,5.594,5.594,3056000
26-01-2012,5.614,5.916,5.6,5.788,5.788,6355500
27-01-2012,5.7,5.944,5.7,5.866,5.866,3742000
30-01-2012,5.898,5.922,5.706,5.914,5.914,3645000
31-01-2012,5.98,6,5.774,5.814,5.814,4782000
01-02-2012,5.814,5.94,5.8,5.916,5.916,2616000
02-02-2012,5.944,6.176,5.922,6.05,6.05,4028500
03-02-2012,6.082,6.266,6.05,6.23,6.23,3822500
06-02-2012,6.22,6.38,6.21,6.36,6.36,3260500
07-02-2012,6.36,6.36,6.164,6.32,6.32,5108000
08-02-2012,6.32,6.402,6.258,6.386,6.386,3118500
09-02-2012,6.4,6.58,6.286,6.516,6.516,6385500
10-02-2012,6.452,6.454,5.968,6.22,6.22,9371000
13-02-2012,6.31,6.412,6.18,6.298,6.298,5789500
14-02-2012,6.348,6.758,6.28,6.634,6.634,9054000
15-02-2012,6.62,6.882,6.454,6.72,6.72,13809000
16-02-2012,6.7,6.902,6.508,6.836,6.836,11098500
17-02-2012,6.798,6.994,6.7,6.994,6.994,6883500
21-02-2012,6.974,6.974,6.762,6.9,6.9,5679000
22-02-2012,6.9,6.944,6.5,6.844,6.844,8273000
23-02-2012,6.798,6.994,6.712,6.906,6.906,4102000
24-02-2012,6.846,6.904,6.654,6.75,6.75,4799500
27-02-2012,6.682,6.8,6.6,6.724,6.724,3030000
28-02-2012,6.728,6.888,6.634,6.762,6.762,3061000
29-02-2012,6.762,6.824,6.628,6.682,6.682,2678500
01-03-2012,6.702,6.9,6.662,6.882,6.882,3517500
02-03-2012,6.88,6.9,6.742,6.808,6.808,2750000
05-03-2012,6.87,6.88,6.692,6.754,6.754,2335000
06-03-2012,6.65,6.656,6.524,6.622,6.622,2869000
07-03-2012,6.624,6.662,6.582,6.624,6.624,1824500
